Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Lead Time,Factory,Factory Latitude,Factory Longitude,Customer Latitude,Customer Longitude,Shipping Distance (km),Shipping Distance Scaled,Sales Scaled,Units Scaled,Cost Scaled,Gross Profit Scaled,Cluster,Cluster Label
1,US-2021-103800-CHO-MIL-31000,2024-03-01,2026-06-30,3,103800,United States,Houston,Texas,77095,0,2,CHO-MIL-31000,10,6.5,2,4.22,2.28,8.9,4,32.076176,-81.088371,39.0997,-94.5786,1447.4023046013494,-0.4245057991340267,-0.6532834839163323,-0.8041613270728024,-0.4864439033192193,-0.744564600311339,1,Fast Route
2,US-2021-112326-CHO-TRI-54000,2024-04-01,2026-01-07,3,112326,United States,Naperville,Illinois,60540,0,2,CHO-TRI-54000,12,7.5,2,4.9,2.6,9.2,4,32.076176,-81.088371,39.0997,-94.5786,1447.4023046013494,-0.4245057991340267,-0.5651036650323357,-0.8041613270728024,-0.4232202725881695,-0.6422075885441493,1,Fast Route
3,US-2021-112326-CHO-NUT-13000,2024-04-01,2026-01-07,3,112326,United States,Naperville,Illinois,60540,0,2,CHO-NUT-13000,11,10.47,3,7.47,3.0,8.9,0,32.881893,-111.768036,39.0997,-94.5786,1693.0057505735124,-0.1947903735647952,-0.3032096029468656,-0.3553700992079087,-0.3441907341743574,-0.2553582940710947,1,Fast Route
4,US-2021-112326-CHO-SCR-58000,2024-04-01,2026-01-07,3,112326,United States,Naperville,Illinois,60540,0,2,CHO-SCR-58000,13,10.8,3,7.5,3.3,8.8,0,32.881893,-111.768036,39.0997,-94.5786,1693.0057505735124,-0.1947903735647952,-0.2741102627151467,-0.3553700992079087,-0.2849185803639983,-0.2508425435519539,1,Fast Route
5,US-2021-141817-CHO-TRI-54000,2024-05-01,2026-05-07,3,141817,United States,Philadelphia,Pennsylvania,19143,0,0,CHO-TRI-54000,12,11.25,3,7.35,3.9,8.5,4,32.076176,-81.088371,40.7128,-74.006,1148.9125174872574,-0.7036863627599724,-0.2344293442173483,-0.3553700992079087,-0.1663742727432801,-0.2734212961476576,1,Fast Route
6,US-2021-167199-CHO-SCR-58000,2024-06-01,2026-03-07,3,167199,United States,Henderson,Kentucky,42420,0,1,CHO-SCR-58000,13,32.4,9,22.5,9.9,8.9,0,32.881893,-111.768036,29.7604,-95.3698,1596.927113204482,-0.2846537099034891,1.63057382517918,2.337377267981453,1.019068803463902,2.007032716018404,0,Average Route
7,US-2021-167199-CHO-TRI-54000,2024-06-01,2026-03-07,3,167199,United States,Henderson,Kentucky,42420,0,1,CHO-TRI-54000,12,7.5,2,4.9,2.6,9.1,4,32.076176,-81.088371,29.7604,-95.3698,1387.922455235033,-0.4801379131538182,-0.5651036650323357,-0.8041613270728024,-0.4232202725881695,-0.6422075885441493,1,Fast Route
8,US-2021-106054-CHO-MIL-31000,2024-06-01,2026-06-30,0,106054,United States,Athens,Georgia,30605,0,1,CHO-MIL-31000,10,9.75,3,6.33,3.42,7.5,4,32.076176,-81.088371,29.7604,-95.3698,1387.922455235033,-0.4801379131538182,-0.3666990725433432,-0.3553700992079087,-0.2612097188398546,-0.4269568137984418,1,Fast Route
9,US-2021-167199-CHO-NUT-13000,2024-06-01,2026-03-07,3,167199,United States,Henderson,Kentucky,42420,0,1,CHO-NUT-13000,11,6.98,2,4.98,2.0,9.2,0,32.881893,-111.768036,29.7604,-95.3698,1596.927113204482,-0.2846537099034891,-0.6109571708520138,-0.8041613270728024,-0.5417645802088877,-0.630165587159774,1,Fast Route
10,US-2021-167199-CHO-MIL-31000,2024-06-01,2026-03-07,3,167199,United States,Henderson,Kentucky,42420,0,1,CHO-MIL-31000,10,13.0,4,8.44,4.56,9.5,4,32.076176,-81.088371,29.7604,-95.3698,1387.922455235033,-0.4801379131538182,-0.0801146611703542,0.0934211286569849,-0.0359755343604901,-0.1093490272855449,1,Fast Route
